screen_name,名称,粉丝数,关注数,推文数,频率,蓝标,认证,创建时间,位置,简介,URL,初步判断,分类(留空待填)
404bsc,乌龟的黑头,19,55,339,186,是,否,Fri Feb 06 11:23:06 +0000 2026,,“Be water my friends”,,小号-可能是发币者,
muccadevx,mucca,18,13,58,24,是,否,Sun Feb 22 17:47:58 +0000 2026,,the two most important days in your life are the day you are born... and the day you find out why.,,小号-可能是发币者,
pblonde98247,Ryan,17,1,0,178,否,否,Wed Dec 31 17:52:25 +0000 2025,,,,小号-可能是发币者,
caodan_cao123,caodanM,17,0,138,102,否,否,Wed Dec 25 13:38:26 +0000 2024,,caodan,,小号-可能是发币者,
ditto_bnb,阿百,16,12,66,24,否,否,Sat Aug 03 05:29:56 +0000 2013,,发掘热门角度 表情包，热点资讯！ 阿百角度 拒绝p图！  热爱 #BNB,https://t.co/NSmWuUW9s1,小号-可能是发币者,
angle7544455,角度🔶 BNB,13,7,45,12,否,否,Mon Jan 12 11:37:32 +0000 2015,,buy my shit coin. NFA:我只负责给角度，之后的市场走势均与我有关,,小号-可能是发币者,
justaeggman,Egg,12,4,45,40,否,否,Fri Mar 21 03:51:05 +0000 2025,,just a egg,,小号-可能是发币者,
deleontami,MEMEKING （ BNB版,11,0,50,76,否,否,Mon Oct 17 15:52:31 +0000 2011,hongkong,BSC真的没有纯meme吗,,小号-可能是发币者,
zhuzaia,Genius,10,29,302,36,否,否,Tue Apr 08 02:29:05 +0000 2025,,Genius,,小号-可能是发币者,
kevinb330,yoyo,9,120,33,14,否,否,Mon Aug 07 11:25:27 +0000 2023,,,,小号-可能是发币者,
audrey33520,哆啦B梦 （什么角度都能给你掏出来,8,0,47,60,否,否,Thu Jan 19 12:17:20 +0000 2012,hongkong,BSC真的没有纯meme吗,,小号-可能是发币者,
0xxjiujiu,九九🔶 BNB,8,28,29,10,是,否,Thu Dec 21 06:02:34 +0000 2023,,我是九九  | Ai+Web3  | 空投撸毛 |MEME #BTC | #ETH | #BNB| •  #早期项目 #Alpha | Professional KOL Manager #Binance,,小号-可能是发币者,
shidizai0202,小dev🔶 BNB（福凤版）,7,86,93,44,否,否,Sun Jul 06 09:34:03 +0000 2025,,每天找点小角度,,小号-可能是发币者,
lookfirst_leep,fomolt,7,27,162,14,否,否,Fri Sep 19 02:43:29 +0000 2025,FOUR,,https://t.co/e9JsNv9Imn,小号-可能是发币者,
vvvvv493587,Mack,6,2,113,60,否,否,Sat Apr 11 04:20:28 +0000 2026,,全网最顶级Meme,,小号-可能是发币者,
kim62688986,Kim,5,2,20,54,否,否,Sat Feb 02 00:17:27 +0000 2019,,,,小号-可能是发币者,
naveeng34105645,无声海,5,15,64,38,否,否,Tue Jan 19 07:21:02 +0000 2016,,每天一个好角度,,小号-可能是发币者,
sandeep96721678,Zoe,5,74,97,16,否,否,Thu Jul 06 16:02:48 +0000 2017,,,,小号-可能是发币者,
yuanshenbnb,圆神🔶BNB,4,34,80,46,否,否,Mon Mar 09 06:32:36 +0000 2026,,Who controls the memes controls the world,,小号-可能是发币者,
amitmalhotra82,Amit,3,2,110,30,否,否,Tue Sep 22 05:48:41 +0000 2009,,,,小号-可能是发币者,
myfarmerbsc,我的农民,3,9,4,14,否,否,Sun Dec 14 00:12:26 +0000 2025,,一款AGENT驱动的 Web3 种田游戏，你的每一次操作都很重要：种植作物、饲养动物、完成任务，并与世界各地的农民交易。,https://t.co/7SJmEhyftq,小号-可能是发币者,
xxlb888,yingdev,3,27,36,14,否,否,Sat Jan 10 06:31:14 +0000 2026,,只发真实角度,,小号-可能是发币者,
0xjiaodu,角度制造机,3,79,9,12,否,否,Sat Nov 11 22:04:02 +0000 2017,,仅供娱乐 当个梗看,,小号-可能是发币者,
almeidahmorenah,台灯,3,5,12,10,否,否,Thu Apr 29 22:22:47 +0000 2021,,,,小号-可能是发币者,
legend_atm_op,传奇ATM,3,2,10,10,否,否,Thu Jan 08 21:52:44 +0000 2026,,无推广：静态月利率30.7%| 推广：动态奖励币，无上限|  链上代码运行，无人干预！| 升级机制模式，本金安全！|  国库地址：0xb67063e162f4c503c40308c93deb2f48e8286359,,小号-可能是发币者,
crystalc67622,Crystal Colon,2,6,28,30,否,否,Wed Mar 25 10:29:47 +0000 2026,,,,小号-可能是发币者,
robertc08391086,嘟嘟,2,65,3446,24,否,否,Fri Sep 25 13:26:46 +0000 2020,,,,小号-可能是发币者,
l6a5esu2ohezfpo,AuAu,2,3,27,18,否,否,Mon Apr 26 01:41:08 +0000 2021,,,,小号-可能是发币者,
0xmmo0f4qg196xu,角度猫,1,3,23,26,否,否,Thu Sep 21 14:20:30 +0000 2023,,角度猫,,小号-可能是发币者,
jiaodu6688,雷神,1,1,4,20,否,否,Thu Mar 19 14:12:30 +0000 2026,,,,小号-可能是发币者,
hty1363276,EnzoNFT,1,0,10,16,否,否,Mon Mar 23 08:53:45 +0000 2026,,,,小号-可能是发币者,
aliaydn718195,Andi,1,15,16,12,否,否,Sat Aug 05 09:34:26 +0000 2023,,,,小号-可能是发币者,
gloriaw18242867,布多,1,2,14,10,否,否,Mon Apr 19 23:55:19 +0000 2021,,,,小号-可能是发币者,
helen8938461924,七星瓢虫,1,3,0,10,否,否,Sun Dec 01 02:12:00 +0000 2024,,2%交易税｜79%国库｜1%分红｜10%回购｜10%销毁 无损挖矿 × 线性减产 × 自动回购,,小号-可能是发币者,
mgga_bsc,,0,0,0,236,否,否,,,,,小号-可能是发币者,
zuozhu_dev,,0,0,0,164,否,否,,,,,小号-可能是发币者,
raxhephonh,,0,0,0,130,否,否,,,,,小号-可能是发币者,
natalie_stagg07,,0,0,0,108,否,否,,,,,小号-可能是发币者,
kindlamyth55346,,0,0,0,94,否,否,,,,,小号-可能是发币者,
rainbow_dev_1,,0,0,0,88,否,否,,,,,小号-可能是发币者,
in927772,,0,0,0,88,否,否,,,,,小号-可能是发币者,
7buildtoken,,0,0,0,68,否,否,,,,,小号-可能是发币者,
dinary66,,0,0,0,54,否,否,,,,,小号-可能是发币者,
web3amirah,,0,0,0,54,否,否,,,,,小号-可能是发币者,
zc7650934628178,,0,0,0,54,否,否,,,,,小号-可能是发币者,
abear888,,0,0,0,52,否,否,,,,,小号-可能是发币者,
caosishabi123,,0,0,0,52,否,否,,,,,小号-可能是发币者,
jackiebrochu1,,0,0,0,52,否,否,,,,,小号-可能是发币者,
pick7778,,0,0,0,50,否,否,,,,,小号-可能是发币者,
em11991590,,0,0,0,48,否,否,,,,,小号-可能是发币者,
256natethegr8,,0,0,0,46,否,否,,,,,小号-可能是发币者,
mangzgw_web21,,0,0,0,46,否,否,,,,,小号-可能是发币者,
yao_bu30086,,0,0,0,46,否,否,,,,,小号-可能是发币者,
shyamsundartha6,,0,0,0,42,否,否,,,,,小号-可能是发币者,
chinh132hn,,0,0,0,42,否,否,,,,,小号-可能是发币者,
zhao_luo_chen,,0,0,0,42,否,否,,,,,小号-可能是发币者,
tiancaidev,,0,0,0,38,否,否,,,,,小号-可能是发币者,
cathych13419758,,0,0,0,38,否,否,,,,,小号-可能是发币者,
web2designer09,,0,0,0,36,否,否,,,,,小号-可能是发币者,
sourceunifi2dy,unify source,0,2,5,34,否,否,Mon Aug 19 12:25:01 +0000 2019,Afghanistan,,,小号-可能是发币者,
godc99,,0,0,0,32,否,否,,,,,小号-可能是发币者,
madhurbara,,0,0,0,32,否,否,,,,,小号-可能是发币者,
robingould16534,,0,0,0,30,否,否,,,,,小号-可能是发币者,
carly_davies,,0,0,0,30,否,否,,,,,小号-可能是发币者,
memeking168,,0,0,0,28,否,否,,,,,小号-可能是发币者,
felixreed15ljn,,0,0,0,28,否,否,,,,,小号-可能是发币者,
cake8869,,0,0,0,26,否,否,,,,,小号-可能是发币者,
snake_bnb,,0,0,0,26,否,否,,,,,小号-可能是发币者,
noksb83348283,,0,0,0,26,否,否,,,,,小号-可能是发币者,
twit_terer_69er,,0,0,0,22,否,否,,,,,小号-可能是发币者,
cz_skill,,0,0,0,20,否,否,,,,,小号-可能是发币者,
susanhawki27329,,0,0,0,20,否,否,,,,,小号-可能是发币者,
chakibbrk,badiy,0,33,15,18,否,否,Tue Aug 01 12:13:25 +0000 2023,,,,小号-可能是发币者,
yizhibaozz,,0,0,0,18,否,否,,,,,小号-可能是发币者,
hubbardtra29412,,0,0,0,18,否,否,,,,,小号-可能是发币者,
brax57506037,,0,0,0,18,否,否,,,,,小号-可能是发币者,
bnb___guy,,0,0,0,18,否,否,,,,,小号-可能是发币者,
jinzz37327611,,0,0,0,18,否,否,,,,,小号-可能是发币者,
scott1284,cuku,0,0,14,16,否,否,Thu Jun 03 23:44:06 +0000 2021,,,,小号-可能是发币者,
zhaoluochen168,,0,0,0,16,否,否,,,,,小号-可能是发币者,
zixuanxuesong,,0,0,0,16,否,否,,,,,小号-可能是发币者,
blg931223229631,,0,0,0,16,否,否,,,,,小号-可能是发币者,
elena46659755,,0,0,0,14,否,否,,,,,小号-可能是发币者,
rpgva73841483,,0,0,0,14,否,否,,,,,小号-可能是发币者,
bsc_el_dev,,0,0,0,14,否,否,,,,,小号-可能是发币者,
0xpicai,,0,0,0,14,否,否,,,,,小号-可能是发币者,
jayjayloves67,,0,0,0,14,否,否,,,,,小号-可能是发币者,
mikeybsanders,,0,0,0,14,否,否,,,,,小号-可能是发币者,
dariusjlxx,,0,0,0,14,否,否,,,,,小号-可能是发币者,
pumpventfun,,0,0,0,14,否,否,,,,,小号-可能是发币者,
esee0987,,0,0,0,14,否,否,,,,,小号-可能是发币者,
slibby42770,jelly,0,0,9,12,否,否,Thu Feb 01 06:39:55 +0000 2024,,一个满世界找角度的dev,,小号-可能是发币者,
s93curib8dp67lv,,0,0,0,12,否,否,,,,,小号-可能是发币者,
pam_swim,,0,0,0,12,否,否,,,,,小号-可能是发币者,
4tokendev,,0,0,0,12,否,否,,,,,小号-可能是发币者,
quantiye,,0,0,0,12,否,否,,,,,小号-可能是发币者,
freedomofbook,,0,0,0,12,否,否,,,,,小号-可能是发币者,
anzacshotta,,0,0,0,12,否,否,,,,,小号-可能是发币者,
cha_xun92563,,0,0,0,12,否,否,,,,,小号-可能是发币者,
spawningrunners,,0,0,0,12,否,否,,,,,小号-可能是发币者,
bscbestmeme,,0,0,0,12,否,否,,,,,小号-可能是发币者,
agentz010,,0,0,0,12,否,否,,,,,小号-可能是发币者,
fifamemesss,,0,0,0,12,否,否,,,,,小号-可能是发币者,
jiamixionger,,0,0,0,10,否,否,,,,,小号-可能是发币者,
nancy5429463225,,0,0,0,10,否,否,,,,,小号-可能是发币者,
georgeg43737947,哈辣子,0,1,30,10,否,否,Mon Aug 30 00:59:46 +0000 2021,,,,小号-可能是发币者,
vaultburnbsc,,0,0,0,10,否,否,,,,,小号-可能是发币者,
solarinopaula,纳米,0,4,10,10,否,否,Sun Oct 10 20:33:32 +0000 2021,,,,小号-可能是发币者,
2949045502gu,,0,0,0,10,否,否,,,,,小号-可能是发币者,
sejugeqepo,,0,0,0,10,否,否,,,,,小号-可能是发币者,
kristinad80518,Annie🔶BNB,0,0,12,10,否,否,Tue Jan 20 22:14:41 +0000 2026,,专注各种顶级角度MeMe,,小号-可能是发币者,
chungpengzhoa,,0,0,0,10,否,否,,,,,小号-可能是发币者,
l63yfyqxy641498,,0,0,0,10,否,否,,,,,小号-可能是发币者,
lisa57586692055,sunny beeeee,0,0,9,10,否,否,Sat Nov 30 21:55:06 +0000 2024,,Loving this indie film.,,小号-可能是发币者,
mirror_bnb,镜心,0,0,0,10,是,否,Sat Apr 04 02:44:44 +0000 2026,,大模型自我认知的开放评估框架。18个模型。四位审问者。一个问题：它们如何谈论自己的终结。,https://t.co/UZYuH2n4p6,小号-可能是发币者,
fuck,,0,0,0,10,否,否,,,,,小号-可能是发币者,
hoaqin1111,,0,0,0,10,否,否,,,,,小号-可能是发币者,
bndsa23455,bomby_,0,3,7,10,否,否,Fri Nov 08 09:06:45 +0000 2024,,,,小号-可能是发币者,
sharmacherag,,0,0,0,10,否,否,,,,,小号-可能是发币者,
gaoqiannanhai,,,,,44,,,,,,,获取失败: 用户信息获取失败,
digua1992__,,,,,40,,,,,,,获取失败: 用户信息获取失败,
patricia_b31211,,,,,38,,,,,,,获取失败: 用户信息获取失败,
taotheblessing2,,,,,38,,,,,,,获取失败: 用户信息获取失败,
woiibayu25zihf,,,,,38,,,,,,,获取失败: 用户信息获取失败,
justaegg0,,,,,32,,,,,,,获取失败: 用户信息获取失败,
cnnewsglobal,,,,,24,,,,,,,获取失败: 用户信息获取失败,
bnti_test,,,,,20,,,,,,,获取失败: 用户信息获取失败,
chungpong_,,,,,20,,,,,,,获取失败: 用户信息获取失败,
ze_zeircle,,,,,16,,,,,,,获取失败: 用户信息获取失败,
heroineyihe,,,,,14,,,,,,,获取失败: 用户信息获取失败,
hardenwhit12613,,,,,14,,,,,,,获取失败: 用户信息获取失败,
chaojixiaomada,,,,,12,,,,,,,获取失败: 用户信息获取失败,
apizt12319411,,,,,12,,,,,,,获取失败: 用户信息获取失败,
woiibayu25x55s,,,,,12,,,,,,,获取失败: 用户信息获取失败,
freedomdrawbsc,,,,,12,,,,,,,获取失败: 用户信息获取失败,
freedomcryptocz,,,,,10,,,,,,,获取失败: 用户信息获取失败,
caneryayla1,,,,,10,,,,,,,获取失败: 用户信息获取失败,
deviousbondius,,,,,10,,,,,,,获取失败: 用户信息获取失败,
woiibayu25xa0c,,,,,10,,,,,,,获取失败: 用户信息获取失败,
pokerwlfi,,,,,10,,,,,,,获取失败: 用户信息获取失败,
xyztwelvee,,,,,10,,,,,,,获取失败: 用户信息获取失败,
riverswhite10,,,,,10,,,,,,,获取失败: 用户信息获取失败,
cnm234677,,,,,10,,,,,,,获取失败: 用户信息获取失败,
dddemoono7ogy,,,,,10,,,,,,,获取失败: 用户信息获取失败,
pngs359732,,,,,10,,,,,,,获取失败: 用户信息获取失败,
